geo,treatment_status,test_period,date,sales,cost
1,treatment,pre_test,2015-01-05,7227.32,0
1,treatment,pre_test,2015-01-06,6815.22,0
1,treatment,pre_test,2015-01-07,6776.46,0
1,treatment,pre_test,2015-01-08,6576.36,0
1,treatment,pre_test,2015-01-09,6452.21,0
1,treatment,pre_test,2015-01-10,3131.31,0
1,treatment,pre_test,2015-01-11,2395.76,0
1,treatment,pre_test,2015-01-12,5673.5,0
1,treatment,pre_test,2015-01-13,5616.11,0
1,treatment,pre_test,2015-01-14,5938.8,0
1,treatment,pre_test,2015-01-15,5796,0
1,treatment,pre_test,2015-01-16,5434.01,0
1,treatment,pre_test,2015-01-17,2490.96,0
1,treatment,pre_test,2015-01-18,2609.96,0
1,treatment,pre_test,2015-01-19,6660.74,0
1,treatment,pre_test,2015-01-20,6284.58,0
1,treatment,pre_test,2015-01-21,7033.76,0
1,treatment,pre_test,2015-01-22,6322.23,0
1,treatment,pre_test,2015-01-23,5483.6,0
1,treatment,pre_test,2015-01-24,2772.76,0
1,treatment,pre_test,2015-01-25,2906.75,0
1,treatment,pre_test,2015-01-26,7599.33,0
1,treatment,pre_test,2015-01-27,6489.19,0
1,treatment,pre_test,2015-01-28,5892.79,0
1,treatment,pre_test,2015-01-29,4828.82,0
1,treatment,pre_test,2015-01-30,1839.8,0
1,treatment,pre_test,2015-01-31,2146.04,0
1,treatment,pre_test,2015-02-01,2634.54,0
1,treatment,pre_test,2015-02-02,7550.27,0
1,treatment,pre_test,2015-02-03,6704.79,0
1,treatment,pre_test,2015-02-04,7031.89,0
1,treatment,pre_test,2015-02-05,6658.1,0
1,treatment,pre_test,2015-02-06,5485.28,0
1,treatment,pre_test,2015-02-07,2905.31,0
1,treatment,pre_test,2015-02-08,2856.06,0
1,treatment,pre_test,2015-02-09,8035.66,0
1,treatment,pre_test,2015-02-10,6932.37,0
1,treatment,pre_test,2015-02-11,7211.8,0
1,treatment,pre_test,2015-02-12,7453.4,0
1,treatment,pre_test,2015-02-13,6051.96,0
1,treatment,pre_test,2015-02-14,2952.31,0
1,treatment,pre_test,2015-02-15,3051.3,0
1,treatment,test,2015-02-16,9167.07,461.97
1,treatment,test,2015-02-17,8407.99,421.8
1,treatment,test,2015-02-18,8647.46,433.93
1,treatment,test,2015-02-19,8225.76,413.44
1,treatment,test,2015-02-20,7776.83,390.66
1,treatment,test,2015-02-21,3220.88,162.44
1,treatment,test,2015-02-22,3745.18,188.11
1,treatment,test,2015-02-23,9043.07,455.91
1,treatment,test,2015-02-24,9825.93,495.03
1,treatment,test,2015-02-25,9060.45,457.08
1,treatment,test,2015-02-26,9106.73,458.54
1,treatment,test,2015-02-27,8225.4,412.92
1,treatment,test,2015-02-28,4064.44,205.29
1,treatment,test,2015-03-01,4208.89,212.26
1,treatment,test,2015-03-02,10748.61,541.09
1,treatment,test,2015-03-03,9325.09,469.46
1,treatment,test,2015-03-04,10335.65,520.4
1,treatment,test,2015-03-05,9665.86,486.73
1,treatment,test,2015-03-06,7688.08,386.68
1,treatment,test,2015-03-07,4218.24,211.69
1,treatment,test,2015-03-08,4187.69,211.01
1,treatment,test,2015-03-09,10398.14,521.52
1,treatment,test,2015-03-10,10975.44,550.5
1,treatment,test,2015-03-11,9321.14,468.64
1,treatment,test,2015-03-12,9666.15,486.66
1,treatment,test,2015-03-13,7922.1,399.36
1,treatment,test,2015-03-14,3846.36,192.62
1,treatment,test,2015-03-15,4649.08,233.85
1,treatment,post_test,2015-03-16,9718.03,0
1,treatment,post_test,2015-03-17,9961.97,0
1,treatment,post_test,2015-03-18,9216.05,0
1,treatment,post_test,2015-03-19,8484.02,0
1,treatment,post_test,2015-03-20,7293.02,0
1,treatment,post_test,2015-03-21,3514.75,0
1,treatment,post_test,2015-03-22,3911.39,0
1,treatment,post_test,2015-03-23,9730.86,0
1,treatment,post_test,2015-03-24,8619.4,0
1,treatment,post_test,2015-03-25,10516.97,0
1,treatment,post_test,2015-03-26,9144.69,0
1,treatment,post_test,2015-03-27,7128.96,0
1,treatment,post_test,2015-03-28,3631.26,0
1,treatment,post_test,2015-03-29,2802.66,0
1,treatment,post_test,2015-03-30,5529.79,0
1,treatment,post_test,2015-03-31,10394.61,0
1,treatment,post_test,2015-04-01,11034.58,0
1,treatment,post_test,2015-04-02,14555.46,0
1,treatment,post_test,2015-04-03,10089.66,0
1,treatment,post_test,2015-04-04,4670.8,0
1,treatment,post_test,2015-04-05,5486.67,0
1,treatment,post_test,2015-04-06,11618.26,0
1,treatment,post_test,2015-04-07,10236.8,0
2,control,pre_test,2015-01-05,5342.56,0
2,control,pre_test,2015-01-06,5952.46,0
2,control,pre_test,2015-01-07,6040.2,0
2,control,pre_test,2015-01-08,5539.52,0
2,control,pre_test,2015-01-09,5865.2,0
2,control,pre_test,2015-01-10,2413.62,0
2,control,pre_test,2015-01-11,2114.2,0
2,control,pre_test,2015-01-12,5807.51,0
2,control,pre_test,2015-01-13,4818.08,0
2,control,pre_test,2015-01-14,5342.42,0
2,control,pre_test,2015-01-15,5287.4,0
2,control,pre_test,2015-01-16,4452.45,0
2,control,pre_test,2015-01-17,2048.68,0
2,control,pre_test,2015-01-18,2180.93,0
2,control,pre_test,2015-01-19,5347.07,0
2,control,pre_test,2015-01-20,5351.43,0
2,control,pre_test,2015-01-21,5977.14,0
2,control,pre_test,2015-01-22,6259.79,0
2,control,pre_test,2015-01-23,5060.17,0
2,control,pre_test,2015-01-24,2552.19,0
2,control,pre_test,2015-01-25,2410.87,0
2,control,pre_test,2015-01-26,6046.6,0
2,control,pre_test,2015-01-27,5562.92,0
2,control,pre_test,2015-01-28,5213.67,0
2,control,pre_test,2015-01-29,4103.7,0
2,control,pre_test,2015-01-30,1634.78,0
2,control,pre_test,2015-01-31,1717.92,0
2,control,pre_test,2015-02-01,2177.3,0
2,control,pre_test,2015-02-02,6156.13,0
2,control,pre_test,2015-02-03,5546.14,0
2,control,pre_test,2015-02-04,5399.39,0
2,control,pre_test,2015-02-05,5782.91,0
2,control,pre_test,2015-02-06,4784.33,0
2,control,pre_test,2015-02-07,2313.07,0
2,control,pre_test,2015-02-08,2238.84,0
2,control,pre_test,2015-02-09,6722.68,0
2,control,pre_test,2015-02-10,6236.31,0
2,control,pre_test,2015-02-11,6251.36,0
2,control,pre_test,2015-02-12,6152.19,0
2,control,pre_test,2015-02-13,5501.78,0
2,control,pre_test,2015-02-14,2468.89,0
2,control,pre_test,2015-02-15,2953.06,0
2,control,test,2015-02-16,6313.61,0
2,control,test,2015-02-17,5995.92,0
2,control,test,2015-02-18,6400.9,0
2,control,test,2015-02-19,5563.52,0
2,control,test,2015-02-20,4949.15,0
2,control,test,2015-02-21,2617.9,0
2,control,test,2015-02-22,2705.8,0
2,control,test,2015-02-23,6836.58,0
2,control,test,2015-02-24,7553.44,0
2,control,test,2015-02-25,6494.25,0
2,control,test,2015-02-26,6731.63,0
2,control,test,2015-02-27,6758.34,0
2,control,test,2015-02-28,2856.53,0
2,control,test,2015-03-01,3387.53,0
2,control,test,2015-03-02,7974.13,0
2,control,test,2015-03-03,7315.06,0
2,control,test,2015-03-04,7294.03,0
2,control,test,2015-03-05,7415.45,0
2,control,test,2015-03-06,5673.47,0
2,control,test,2015-03-07,3254.45,0
2,control,test,2015-03-08,2481.6,0
2,control,test,2015-03-09,7977.75,0
2,control,test,2015-03-10,7710.54,0
2,control,test,2015-03-11,7504.64,0
2,control,test,2015-03-12,7520.21,0
2,control,test,2015-03-13,6543.29,0
2,control,test,2015-03-14,3065.4,0
2,control,test,2015-03-15,2947.84,0
2,control,post_test,2015-03-16,8371.36,0
2,control,post_test,2015-03-17,8135.93,0
2,control,post_test,2015-03-18,8420.33,0
2,control,post_test,2015-03-19,7665.73,0
2,control,post_test,2015-03-20,6248.35,0
2,control,post_test,2015-03-21,3138.88,0
2,control,post_test,2015-03-22,3163.53,0
2,control,post_test,2015-03-23,8893.94,0
2,control,post_test,2015-03-24,7419.49,0
2,control,post_test,2015-03-25,9265.91,0
2,control,post_test,2015-03-26,7211.01,0
2,control,post_test,2015-03-27,5983.47,0
2,control,post_test,2015-03-28,2731.9,0
2,control,post_test,2015-03-29,2022.26,0
2,control,post_test,2015-03-30,4978.16,0
2,control,post_test,2015-03-31,9096.13,0
2,control,post_test,2015-04-01,9292.64,0
2,control,post_test,2015-04-02,12965.73,0
2,control,post_test,2015-04-03,9827.24,0
2,control,post_test,2015-04-04,4289.66,0
2,control,post_test,2015-04-05,4805.18,0
2,control,post_test,2015-04-06,10773.93,0
2,control,post_test,2015-04-07,8906.44,0
3,control,pre_test,2015-01-05,4958.89,0
3,control,pre_test,2015-01-06,5263.24,0
3,control,pre_test,2015-01-07,5231.3,0
3,control,pre_test,2015-01-08,4634.11,0
3,control,pre_test,2015-01-09,4358.55,0
3,control,pre_test,2015-01-10,2443.12,0
3,control,pre_test,2015-01-11,1788.17,0
3,control,pre_test,2015-01-12,4219.14,0
3,control,pre_test,2015-01-13,4344.26,0
3,control,pre_test,2015-01-14,4415.26,0
3,control,pre_test,2015-01-15,4521.99,0
3,control,pre_test,2015-01-16,3693.51,0
3,control,pre_test,2015-01-17,1947.01,0
3,control,pre_test,2015-01-18,1869.36,0
3,control,pre_test,2015-01-19,5069.96,0
3,control,pre_test,2015-01-20,4681.22,0
3,control,pre_test,2015-01-21,4651.19,0
3,control,pre_test,2015-01-22,4984.93,0
